@relation unnamed_dataset

@attribute X1 {0,1,2}
@attribute X2 {0,1,2}
@attribute X3 {0,1,2}
@attribute X4 {0,1,2}
@attribute X5 {0,1,2}
@attribute C1 {A,B,C}
@attribute C2 {A,B,C}

@data
0,0,1,0,1,A,A
0,0,1,1,0,A,A
0,0,1,2,0,A,A
0,0,1,1,0,A,A
0,1,2,2,0,A,A
1,0,1,2,0,A,A
0,0,1,1,1,A,A
2,0,2,2,0,A,A
0,2,2,0,0,A,A
1,2,2,2,0,A,A
0,0,1,2,0,A,A
1,2,1,1,0,A,A
1,0,1,2,0,A,A
1,2,1,1,2,A,A
1,2,1,1,0,A,A
0,0,1,1,2,A,A
0,0,1,2,0,A,A
0,0,1,2,2,A,A
0,2,1,2,2,A,A
1,0,1,1,0,A,A
2,2,1,2,2,A,A
2,2,1,2,0,A,A
2,0,2,0,0,A,A
0,0,1,2,0,A,A
0,1,2,0,1,A,A
0,2,1,2,0,A,A
2,2,1,1,2,A,A
0,0,1,2,0,A,A
0,0,1,2,2,A,A
2,0,1,2,2,A,A
1,2,1,1,1,A,A
0,0,1,1,1,A,A
0,0,1,1,1,A,A
0,0,1,1,0,A,A
0,0,1,1,2,A,A
0,0,1,2,0,A,A
2,2,1,1,1,A,A
2,0,2,1,0,A,A
0,2,1,2,0,A,A
1,0,1,1,1,A,A
2,2,1,1,0,A,A
2,0,1,1,2,A,A
0,0,1,1,0,A,A
1,0,1,2,0,A,A
2,2,1,2,0,A,A
1,0,1,2,0,A,A
0,2,1,1,0,A,A
0,0,1,1,0,A,A
2,0,1,2,2,A,A
0,2,1,2,0,A,A
1,0,1,2,0,A,A
2,0,2,1,2,A,A
1,2,1,1,0,A,A
2,0,2,1,2,A,A
2,2,1,2,0,A,A
2,0,2,0,0,A,A
0,0,1,1,0,A,A
1,0,1,1,0,A,A
0,0,1,2,0,A,A
0,2,1,1,0,A,A
1,0,1,1,2,A,A
1,0,1,2,2,A,A
0,0,1,1,0,A,A
